n      |G0             |G_calc
0     |6.202608e-08 + i(4.637697e-09)      |6.202608e-08 + i(4.637697e-09) 
1     |-6.049572e-08 + i(-2.082434e-07)      |-6.049572e-08 + i(-2.082434e-07) 
2     |5.058246e-08 + i(-1.945202e-07)      |4.594033e-07 + i(1.787830e-06) 
3     |1.754632e-09 + i(-8.422384e-08)      |-2.940403e-07 + i(1.575743e-06) 
4     |8.963973e-08 + i(-5.985000e-08)      |-6.070217e-08 + i(7.072114e-07) 
5     |9.772562e-08 + i(7.006102e-09)      |-4.893205e-07 + i(4.107876e-07) 
6     |5.219198e-08 + i(3.663512e-08)      |-5.754096e-07 + i(2.591465e-08) 
7     |2.289903e-09 + i(-4.793096e-10)      |-3.382518e-07 + i(-1.750542e-07) 
8     |4.615332e-08 + i(-9.626588e-08)      |-6.204299e-08 + i(-3.454689e-08) 
9     |7.271574e-08 + i(-2.999903e-08)      |-1.884436e-07 + i(3.916796e-07) 
10     |2.062205e-09 + i(7.626961e-08)      |-3.257171e-07 + i(2.126758e-07) 
11     |1.607546e-08 + i(-3.758927e-08)      |-8.130643e-08 + i(-2.499335e-07) 
12     |-1.299817e-07 + i(-1.456638e-07)      |-5.802771e-08 + i(5.606053e-08) 
13     |-7.841569e-08 + i(-1.240003e-08)      |4.249627e-07 + i(5.275051e-07) 
14     |-6.455474e-08 + i(4.888314e-08)      |3.853137e-07 + i(1.848000e-07) 
15     |3.384814e-08 + i(3.351299e-08)      |2.805505e-07 + i(-1.422938e-07) 
16     |1.183377e-07 + i(1.907907e-07)      |-3.902188e-08 + i(-1.503182e-07) 
17     |1.673837e-07 + i(3.385297e-07)      |-3.865490e-07 + i(-5.948181e-07) 
18     |3.056741e-08 + i(4.818534e-07)      |-6.046662e-07 + i(-1.159220e-06) 
19     |2.385277e-07 + i(9.624073e-07)      |-2.615918e-07 + i(-1.683765e-06) 
20     |9.579422e-07 + i(2.378911e-06)      |-6.980509e-07 + i(-3.097255e-06) 
21     |3.727436e-06 + i(4.574122e-06)      |-2.829525e-06 + i(-7.263736e-06) 
22     |1.108060e-05 + i(7.664657e-06)      |-1.072362e-05 + i(-1.417718e-05) 
23     |2.765253e-05 + i(9.873021e-06)      |-3.201163e-05 + i(-2.380516e-05) 
24     |6.224932e-05 + i(4.498555e-06)      |-8.000435e-05 + i(-3.162320e-05) 
25     |1.260147e-04 + i(-2.629256e-05)      |-1.793157e-04 + i(-1.949964e-05) 
26     |2.281345e-04 + i(-1.215483e-04)      |-3.625447e-04 + i(6.101971e-05) 
27     |3.599507e-04 + i(-3.555542e-04)      |-6.578173e-04 + i(3.161400e-04) 
28     |4.576978e-04 + i(-8.468446e-04)      |-1.048222e-03 + i(9.477304e-04) 
29     |3.417433e-04 + i(-1.748612e-03)      |-1.375116e-03 + i(2.280578e-03) 
30     |-3.718049e-04 + i(-3.187764e-03)      |-1.176183e-03 + i(4.741514e-03) 
31     |-2.353734e-03 + i(-5.109731e-03)      |5.474903e-04 + i(8.709935e-03) 
32     |-6.566643e-03 + i(-6.999487e-03)      |5.561645e-03 + i(1.412724e-02) 
33     |-1.406161e-02 + i(-7.491569e-03)      |1.644327e-02 + i(1.978104e-02) 
34     |-2.541435e-02 + i(-4.005701e-03)      |3.611358e-02 + i(2.228750e-02) 
35     |-3.972338e-02 + i(7.291264e-03)      |6.646193e-02 + i(1.508608e-02) 
36     |-5.333635e-02 + i(3.075798e-02)      |1.058257e-01 + i(-1.181737e-02) 
37     |-5.889632e-02 + i(6.940176e-02)      |1.456640e-01 + i(-7.025272e-02) 
38     |-4.574073e-02 + i(1.219408e-01)      |1.678022e-01 + i(-1.693904e-01) 
39     |-2.735997e-03 + i(1.798241e-01)      |1.447704e-01 + i(-3.083532e-01) 
40     |7.617971e-02 + i(2.262905e-01)      |4.608388e-02 + i(-4.681613e-01) 
41     |1.853475e-01 + i(2.399007e-01)      |-1.483804e-01 + i(-6.079556e-01) 
42     |3.034459e-01 + i(2.034881e-01)      |-4.310978e-01 + i(-6.717430e-01) 
43     |3.967918e-01 + i(1.159242e-01)      |-7.544968e-01 + i(-6.090572e-01) 
44     |4.316552e-01 + i(0.000000e+00)      |-1.035027e+00 + i(-4.048269e-01) 
45     |3.910213e-01 + i(-1.013073e-01)      |-1.180170e+00 + i(-1.033533e-01) 
46     |2.850439e-01 + i(-1.428572e-01)      |-1.130550e+00 + i(1.933647e-01) 
47     |1.448402e-01 + i(-1.025810e-01)      |-8.929439e-01 + i(3.634839e-01) 
